abandon        give up
apple          a kind of fruit with red appearance
banana         a kind of fruit with yellow appearance
cake           a kind of fruit that is made by flour , egg, and milk
capable        have the ability to do things
dentist        a doctor who can cure your toothache
doctor         a degree
elect          select a person to be a new position
fail           can not achieve one's goal
frustrated     very tired
great          good
happy          a kind of mood which show one's positive attitude
helicopter     a kind of vehicle that can fly in the sky
illegal        is not allowed according to the law
intelligence   a kind of object that illustrate one's ability
jacket         a kind of clothes which is worn by a person
joker          a kind of job
kick           touch an object with one's foot
language       a kind of method to present people's idea
member         a kind of object to describe the relationship between different things
none           nothing
open           make a place exposed to outside
purple         a kind of colour
quick          speed up
reset          set again
survive        keep safe in the disaster
turtle         a kind of animal with a shell on its back
unit           a kind of thins to describe a series of things
vote           support others with its ticket
write          express one's ideas in words
yield          produce
zoo            a place filled with animal
